country,id,week.year,revenue,units
ID,2924136,7.2019,"644,82",1
ID,2924136,9.2019,"644,82",1
ID,2924136,6.2019,"4895,40",4
ID,2924136,7.2019,"1223,82",1
ID,2924136,8.2019,"1213,38",1
ID,2924334,7.2019,"1216,38",1
ID,2924550,6.2019,"1214,22",1
ID,2925012,6.2019,"1227,42",1
ID,2925540,7.2019,"2453,52",2
ID,2925744,9.2019,"1200,00",1
ID,2926062,7.2019,"648,30",1
ID,2926062,9.2019,"648,30",1
ID,2926062,9.2019,"1216,38",1
ID,2926164,7.2019,"1216,38",1
ID,2926206,9.2019,"1216,38",1
ID,2926206,8.2019,"2432,76",2
ID,2926290,9.2019,"2411,64",2
ID,2926458,6.2019,"644,82",1
ID,2927244,6.2019,"1226,76",1
ID,2927244,7.2019,"2443,14",2
ID,2927244,8.2019,"2432,76",2
ID,2927286,8.2019,"5539,20",20
ID,2927382,6.2019,"1944,90",3
ID,2927496,6.2019,"1226,76",1
ID,2927610,6.2019,"3902,82",1
ID,2927610,8.2019,"3734,40",1
ID,2927610,7.2019,"4454,16",2
ID,2927610,9.2019,"648,30",1
ID,2927610,9.2019,"1091,52",1
ID,2927610,7.2019,"4907,04",4
ID,2927610,8.2019,"4865,52",4
ID,2927610,9.2019,"2432,76",2
ID,2927760,8.2019,"4815,84",4
ID,2928342,6.2019,"1223,82",1
ID,2928342,8.2019,"7280,28",6
ID,2928468,6.2019,"2447,64",2
ID,2928810,6.2019,"5320,98",3
ID,2928924,8.2019,"1213,38",1
ID,2929050,8.2019,"648,30",1
ID,2930754,6.2019,"3566,16",3
ID,2930754,7.2019,"4754,88",4
ID,2930754,8.2019,"3566,16",3
ID,2931132,6.2019,"623,52",1
ID,2932062,6.2019,"3877,98",1
ID,2932074,8.2019,"644,82",1
ID,2932152,6.2019,"276,96",1
ID,2932836,5.2019,"631,26",1
ID,2933046,6.2019,"632,64",1
ID,2933046,8.2019,"2433,96",2
ID,2933250,8.2019,"2434,08",2
ID,2933604,7.2019,"644,76",1
ID,2933604,6.2019,"1247,04",2
ID,2933604,7.2019,"1214,22",1
ID,2933604,8.2019,"3611,82",3
ID,2934288,6.2019,"4909,68",4
ID,2934288,9.2019,"1216,98",1
ID,2934366,8.2019,"1216,98",1
ID,2934924,8.2019,"1934,46",3
ID,2934924,5.2019,"627,24",1
ID,2934960,7.2019,"648,30",1
ID,2934960,9.2019,"648,30",1
ID,2935860,7.2019,"1084,56",1
ID,2935860,8.2019,"1084,56",1
ID,2935860,9.2019,"1084,56",1
ID,2935860,6.2019,"1223,82",1
ID,2936472,7.2019,"1223,82",1
ID,2936484,6.2019,"2447,76",2
ID,2936484,7.2019,"1223,82",1
ID,2936484,8.2019,"2426,76",2
ID,2936484,9.2019,"1213,38",1
ID,2937192,8.2019,"1216,38",1
ID,2937246,9.2019,"5342,70",5
ID,2937312,7.2019,"6066,90",5
ID,2937600,8.2019,"1216,38",1
ID,2937600,6.2019,"4907,04",4
ID,2937960,6.2019,"1384,92",5
ID,2937966,5.2019,"1223,82",1
ID,2937966,8.2019,"1213,38",1
ID,2938026,9.2019,"2245,56",1
ID,2938326,7.2019,"1211,64",1
ID,2938344,5.2019,"623,52",1
ID,2938368,6.2019,"1289,64",2
ID,2938368,9.2019,"1934,46",3
ID,2938806,9.2019,"649,50",1
ID,2939028,6.2019,"624,00",1
ID,2939424,8.2019,"644,76",1
ID,2939424,6.2019,"2428,44",2
ID,2939424,7.2019,"1203,90",1
ID,2939424,8.2019,"9631,44",8
ID,2939424,9.2019,"7223,40",6
ID,2939514,7.2019,"-1226,76",-1
ID,2939514,7.2019,"2453,52",2
ID,2939676,8.2019,"1211,64",1
ID,2940006,7.2019,"396,60",1
ID,2940006,8.2019,"396,60",1
ID,2940006,7.2019,"644,82",1
ID,2940030,7.2019,"648,30",1
ID,2940030,6.2019,"3680,28",3
ID,2940030,8.2019,"1216,38",1
ID,2940282,6.2019,"2454,84",2
ID,2940282,8.2019,"3650,94",3
ID,2940414,9.2019,"3639,78",3
ID,2940636,7.2019,"630,00",1
ID,2940636,7.2019,"2401,80",2
ID,2940648,7.2019,"644,82",1
ID,2940798,7.2019,"24284,64",20
ID,2940846,7.2019,"623,52",1
ID,2941296,9.2019,"2434,08",2
ID,2941404,6.2019,"1214,22",1
ID,2941404,7.2019,"1214,22",1
ID,2941404,8.2019,"1203,90",1
ID,2941404,9.2019,"1203,90",1
ID,2941728,8.2019,"4853,52",4
ID,2941728,9.2019,"2426,76",2
ID,2942232,9.2019,"794,28",2
ID,2942292,8.2019,"1216,38",1
ID,2942292,9.2019,"1216,38",1
ID,2942328,5.2019,"2258,16",1
ID,2943300,6.2019,"4907,04",4
ID,2943468,7.2019,"2447,64",2
ID,2944104,8.2019,"648,30",1
ID,2944104,8.2019,"2432,76",2
ID,2944158,8.2019,"3617,28",3
ID,2944890,8.2019,"3566,16",3
ID,2944896,6.2019,"395,46",1
ID,2944896,6.2019,"1211,64",1
ID,2944896,7.2019,"2423,28",2
ID,2944896,9.2019,"1205,76",1
ID,2944902,7.2019,"1227,42",1
ID,2945280,6.2019,"1289,64",2
ID,2945784,9.2019,"1216,38",1
ID,2945826,8.2019,"2244,42",1
ID,2945826,7.2019,"1091,52",1
ID,2945826,7.2019,"4907,04",4
ID,2945826,8.2019,"1216,38",1
ID,2945844,8.2019,"1216,98",1
ID,2946270,5.2019,"644,82",1
ID,2946426,8.2019,"277,02",1
ID,2947500,8.2019,"612,00",1
ID,2947500,7.2019,"1200,84",1
ID,2947500,9.2019,"5943,60",5
ID,2947500,9.2019,"1188,72",1
ID,2947980,7.2019,"1188,72",1
ID,2948082,8.2019,"648,30",1
ID,2948136,6.2019,"22028,88",18
ID,2948136,9.2019,"2426,76",2
ID,2948532,6.2019,"4909,68",4
ID,2948754,7.2019,"1214,22",1
ID,2949234,9.2019,"3741,12",6
ID,2949258,7.2019,"1226,76",1
ID,2949258,9.2019,"1216,38",1
ID,2949906,7.2019,"1227,42",1
ID,2951118,6.2019,"1188,72",1
ID,2951118,7.2019,"2377,44",2
ID,2951118,9.2019,"4754,88",4
ID,2951244,5.2019,"1223,82",1
ID,2951244,9.2019,"1213,38",1
ID,2951304,6.2019,"2447,64",2
ID,2951304,7.2019,"1223,82",1
ID,2951358,8.2019,"644,82",1
ID,2951358,6.2019,"1223,82",1
ID,2951940,7.2019,"2453,52",2
ID,2951940,8.2019,"1216,38",1
ID,2951940,9.2019,"1216,38",1
ID,2951994,7.2019,"1299,00",2
ID,2951994,8.2019,"649,50",1
ID,2951994,9.2019,"3650,94",3
ID,2952012,7.2019,"1904,94",1
ID,2952042,8.2019,"1216,98",1
ID,2952780,7.2019,"3902,82",1
ID,2952780,6.2019,"1227,42",1
ID,2952798,7.2019,"1213,38",1
ID,2953362,7.2019,"3617,28",3
ID,2953386,6.2019,"2235,60",1
ID,2953386,6.2019,"1211,64",1
ID,2953482,7.2019,"1289,64",2
ID,2953482,7.2019,"6119,10",5
ID,2953506,6.2019,"1214,22",1
ID,2953692,7.2019,"2235,60",1
ID,2953998,8.2019,"644,76",1
ID,2954148,9.2019,"1216,98",1
ID,2957766,7.2019,"1211,64",1
ID,2957766,8.2019,"3617,28",3
ID,2959128,6.2019,"4909,68",4
ID,2959128,8.2019,"2433,96",2
ID,2959128,9.2019,"1216,98",1
ID,2959350,9.2019,"3560,82",1
ID,2959350,6.2019,"1062,24",1
ID,2959350,8.2019,"1062,24",1
ID,2959350,5.2019,"2423,28",2
ID,2959350,6.2019,"2423,28",2
ID,2959350,7.2019,"14539,68",12
ID,2959350,8.2019,"3617,28",3
