id+,days_since_purchase,frequency,revenue,log_days_since_purchase,log_frequency,log_revenue,Cluster_Prediction,segment,country,country_clean
ID3783174,29,1,38970.00,3.40,0.69,10.57,4,new customers with low buying ability,ID,Indonesia
ID3783312,1,31,9969816.00,0.69,3.47,16.12,3,champions,ID,Indonesia
ID3783366,8,10,499746.00,2.20,2.40,13.12,1,new customers with high buying ability,ID,Indonesia
ID3783546,50,2,242376.00,3.93,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID3783588,15,11,1879770.00,2.77,2.48,14.45,1,new customers with high buying ability,ID,Indonesia
ID3783744,71,1,482808.00,4.28,0.69,13.09,5,need bring back,ID,Indonesia
ID3783804,225,3,1263744.00,5.42,1.39,14.05,5,need bring back,ID,Indonesia
ID3790218,8,32,19361454.00,2.20,3.50,16.78,3,champions,ID,Indonesia
ID3792588,57,1,362250.00,4.06,0.69,12.80,5,need bring back,ID,Indonesia
ID3792720,225,3,308154.00,5.42,1.39,12.64,5,need bring back,ID,Indonesia
ID3792870,351,1,192402.00,5.86,0.69,12.17,0,can not lose,ID,Indonesia
ID3792930,64,4,486750.00,4.17,1.61,13.10,5,need bring back,ID,Indonesia
ID3793098,246,1,240792.00,5.51,0.69,12.39,0,can not lose,ID,Indonesia
ID3793134,22,26,7444080.00,3.14,3.30,15.82,3,champions,ID,Indonesia
ID3793332,36,6,1794852.00,3.61,1.95,14.40,1,new customers with high buying ability,ID,Indonesia
ID3793338,15,12,2212752.00,2.77,2.56,14.61,3,champions,ID,Indonesia
ID3793362,92,1,124704.00,4.53,0.69,11.73,0,can not lose,ID,Indonesia
ID3793596,92,1,121662.00,4.53,0.69,11.71,0,can not lose,ID,Indonesia
ID3793644,15,11,1464516.00,2.77,2.48,14.20,1,new customers with high buying ability,ID,Indonesia
ID3793674,43,2,433416.00,3.78,1.10,12.98,5,need bring back,ID,Indonesia
ID3793698,71,4,727416.00,4.28,1.61,13.50,5,need bring back,ID,Indonesia
ID3793794,288,1,606690.00,5.67,0.69,13.32,5,need bring back,ID,Indonesia
ID3801774,64,8,1583250.00,4.17,2.20,14.27,5,need bring back,ID,Indonesia
ID3801864,99,1,121662.00,4.61,0.69,11.71,0,can not lose,ID,Indonesia
ID3801924,15,9,1453956.00,2.77,2.30,14.19,1,new customers with high buying ability,ID,Indonesia
ID3802020,50,1,102678.00,3.93,0.69,11.54,4,new customers with low buying ability,ID,Indonesia
ID3802098,106,2,364986.00,4.67,1.10,12.81,5,need bring back,ID,Indonesia
ID3802206,36,3,483000.00,3.61,1.39,13.09,1,new customers with high buying ability,ID,Indonesia
ID3802236,267,1,121662.00,5.59,0.69,11.71,0,can not lose,ID,Indonesia
ID3802284,29,13,1035678.00,3.40,2.64,13.85,1,new customers with high buying ability,ID,Indonesia
ID3802446,29,14,1137828.00,3.40,2.71,13.94,1,new customers with high buying ability,ID,Indonesia
ID3802656,22,9,1156926.00,3.14,2.30,13.96,1,new customers with high buying ability,ID,Indonesia
ID3802758,22,23,1534434.00,3.14,3.18,14.24,1,new customers with high buying ability,ID,Indonesia
ID3802764,71,1,124704.00,4.28,0.69,11.73,4,new customers with low buying ability,ID,Indonesia
ID3802812,64,1,120750.00,4.17,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID3802998,36,9,1308846.00,3.61,2.30,14.08,1,new customers with high buying ability,ID,Indonesia
ID3803016,190,2,354144.00,5.25,1.10,12.78,5,need bring back,ID,Indonesia
ID3810666,29,20,3391404.00,3.40,3.04,15.04,3,champions,ID,Indonesia
ID3810960,50,3,437754.00,3.93,1.39,12.99,5,need bring back,ID,Indonesia
ID3811158,330,1,216924.00,5.80,0.69,12.29,0,can not lose,ID,Indonesia
ID3811164,36,4,853680.00,3.61,1.61,13.66,1,new customers with high buying ability,ID,Indonesia
ID3811272,204,6,327114.00,5.32,1.95,12.70,5,need bring back,ID,Indonesia
ID3811326,43,6,730074.00,3.78,1.95,13.50,1,new customers with high buying ability,ID,Indonesia
ID3811362,176,5,272112.00,5.18,1.79,12.51,5,need bring back,ID,Indonesia
ID3811464,8,46,22522596.00,2.20,3.85,16.93,3,champions,ID,Indonesia
ID3811482,323,3,256170.00,5.78,1.39,12.45,0,can not lose,ID,Indonesia
ID3811566,8,2,101322.00,2.20,1.10,11.53,4,new customers with low buying ability,ID,Indonesia
ID3811932,64,5,174024.00,4.17,1.79,12.07,4,new customers with low buying ability,ID,Indonesia
ID3811974,274,1,120576.00,5.62,0.69,11.70,0,can not lose,ID,Indonesia
ID3812004,120,1,121662.00,4.80,0.69,11.71,0,can not lose,ID,Indonesia
ID3812124,323,1,125448.00,5.78,0.69,11.74,0,can not lose,ID,Indonesia
