id+,days_since_purchase,frequency,revenue,log_days_since_purchase,log_frequency,log_revenue,Cluster_Prediction,segment,country,country_clean
ID2901336,15,13,5329632.00,2.77,2.64,15.49,3,champions,ID,Indonesia
ID2901456,197,1,121662.00,5.29,0.69,11.71,0,can not lose,ID,Indonesia
ID2901558,1,17,2750376.00,0.69,2.89,14.83,3,champions,ID,Indonesia
ID2901636,176,1,325380.00,5.18,0.69,12.69,0,can not lose,ID,Indonesia
ID2901744,92,5,491742.00,4.53,1.79,13.11,5,need bring back,ID,Indonesia
ID2901948,36,2,182568.00,3.61,1.10,12.11,4,new customers with low buying ability,ID,Indonesia
ID2901960,260,3,308190.00,5.56,1.39,12.64,0,can not lose,ID,Indonesia
ID2902038,8,8,1231866.00,2.20,2.20,14.02,1,new customers with high buying ability,ID,Indonesia
ID2902068,15,19,3476496.00,2.77,3.00,15.06,3,champions,ID,Indonesia
ID2902104,22,1,102678.00,3.14,0.69,11.54,4,new customers with low buying ability,ID,Indonesia
ID2902116,204,3,1695000.00,5.32,1.39,14.34,5,need bring back,ID,Indonesia
ID2902704,169,3,365022.00,5.14,1.39,12.81,5,need bring back,ID,Indonesia
ID2903088,323,1,62616.00,5.78,0.69,11.04,0,can not lose,ID,Indonesia
ID2903220,64,3,485352.00,4.17,1.39,13.09,5,need bring back,ID,Indonesia
ID2903256,22,7,1420110.00,3.14,2.08,14.17,1,new customers with high buying ability,ID,Indonesia
ID2903292,316,1,223884.00,5.76,0.69,12.32,0,can not lose,ID,Indonesia
ID2903478,15,10,551676.00,2.77,2.40,13.22,1,new customers with high buying ability,ID,Indonesia
ID2903538,15,3,189534.00,2.77,1.39,12.15,4,new customers with low buying ability,ID,Indonesia
ID2903616,344,1,42126.00,5.84,0.69,10.65,2,may lose,ID,Indonesia
ID2903754,239,1,121662.00,5.48,0.69,11.71,0,can not lose,ID,Indonesia
ID2903766,43,3,232572.00,3.78,1.39,12.36,4,new customers with low buying ability,ID,Indonesia
ID2903802,295,1,121638.00,5.69,0.69,11.71,0,can not lose,ID,Indonesia
ID2903898,50,1,222804.00,3.93,0.69,12.31,4,new customers with low buying ability,ID,Indonesia
ID2903952,43,2,242412.00,3.78,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID2904138,15,20,2530548.00,2.77,3.04,14.74,3,champions,ID,Indonesia
ID2904150,85,7,3599394.00,4.45,2.08,15.10,5,need bring back,ID,Indonesia
ID2904174,99,2,364986.00,4.61,1.10,12.81,5,need bring back,ID,Indonesia
ID2904258,57,2,250410.00,4.06,1.10,12.43,5,need bring back,ID,Indonesia
ID2904324,29,8,1578486.00,3.40,2.20,14.27,1,new customers with high buying ability,ID,Indonesia
ID2904624,57,11,1009224.00,4.06,2.48,13.82,1,new customers with high buying ability,ID,Indonesia
ID2904636,218,1,121662.00,5.39,0.69,11.71,0,can not lose,ID,Indonesia
ID2904726,29,12,1913706.00,3.40,2.56,14.46,1,new customers with high buying ability,ID,Indonesia
ID2904738,57,1,120750.00,4.06,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID2904744,22,2,483000.00,3.14,1.10,13.09,1,new customers with high buying ability,ID,Indonesia
ID2904870,323,1,80460.00,5.78,0.69,11.30,0,can not lose,ID,Indonesia
ID2904888,232,1,243324.00,5.45,0.69,12.40,0,can not lose,ID,Indonesia
ID2904942,99,6,1211244.00,4.61,1.95,14.01,5,need bring back,ID,Indonesia
ID2905008,15,18,10487082.00,2.77,2.94,16.17,3,champions,ID,Indonesia
ID2905026,309,1,571482.00,5.74,0.69,13.26,5,need bring back,ID,Indonesia
ID2905032,281,3,852504.00,5.64,1.39,13.66,5,need bring back,ID,Indonesia
ID2905080,113,1,935280.00,4.74,0.69,13.75,5,need bring back,ID,Indonesia
ID2905398,8,20,3261636.00,2.20,3.04,15.00,3,champions,ID,Indonesia
ID2905542,43,3,362250.00,3.78,1.39,12.80,5,need bring back,ID,Indonesia
ID2905740,78,2,242412.00,4.37,1.10,12.40,5,need bring back,ID,Indonesia
ID2905758,8,42,16490622.00,2.20,3.76,16.62,3,champions,ID,Indonesia
ID2906052,113,2,186492.00,4.74,1.10,12.14,0,can not lose,ID,Indonesia
ID2906172,43,5,1458840.00,3.78,1.79,14.19,1,new customers with high buying ability,ID,Indonesia
ID2906298,281,1,63126.00,5.64,0.69,11.05,0,can not lose,ID,Indonesia
ID2906418,148,1,124704.00,5.00,0.69,11.73,0,can not lose,ID,Indonesia
ID2906580,239,1,39672.00,5.48,0.69,10.59,2,may lose,ID,Indonesia
ID2906670,36,1,120750.00,3.61,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID2906784,113,1,76692.00,4.74,0.69,11.25,0,can not lose,ID,Indonesia
ID2906808,57,5,8338602.00,4.06,1.79,15.94,3,champions,ID,Indonesia
ID2906982,330,1,244776.00,5.80,0.69,12.41,0,can not lose,ID,Indonesia
ID2906988,43,7,1143288.00,3.78,2.08,13.95,1,new customers with high buying ability,ID,Indonesia
ID2907078,29,1,241500.00,3.40,0.69,12.39,4,new customers with low buying ability,ID,Indonesia
ID2907150,190,5,9447018.00,5.25,1.79,16.06,5,need bring back,ID,Indonesia
ID2907300,43,2,242412.00,3.78,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID2907552,64,2,92046.00,4.17,1.10,11.43,4,new customers with low buying ability,ID,Indonesia
ID2907660,288,1,121638.00,5.67,0.69,11.71,0,can not lose,ID,Indonesia
ID2907702,92,1,121662.00,4.53,0.69,11.71,0,can not lose,ID,Indonesia
ID2907744,15,11,3260862.00,2.77,2.48,15.00,3,champions,ID,Indonesia
ID2907756,15,9,2050158.00,2.77,2.30,14.53,1,new customers with high buying ability,ID,Indonesia
ID2907762,120,2,243300.00,4.80,1.10,12.40,0,can not lose,ID,Indonesia
ID2907768,22,1,59382.00,3.14,0.69,10.99,4,new customers with low buying ability,ID,Indonesia
ID2908014,127,1,224442.00,4.85,0.69,12.32,0,can not lose,ID,Indonesia
ID2908218,29,15,6863118.00,3.40,2.77,15.74,3,champions,ID,Indonesia
ID2908290,57,2,345186.00,4.06,1.10,12.75,5,need bring back,ID,Indonesia
ID2908308,267,1,54900.00,5.59,0.69,10.91,0,can not lose,ID,Indonesia
ID2908350,15,20,2334510.00,2.77,3.04,14.66,3,champions,ID,Indonesia
ID2908356,232,2,243324.00,5.45,1.10,12.40,0,can not lose,ID,Indonesia
ID2908482,197,3,578832.00,5.29,1.39,13.27,5,need bring back,ID,Indonesia
ID2908512,1,14,2111514.00,0.69,2.71,14.56,3,champions,ID,Indonesia
ID2908674,1,12,1358580.00,0.69,2.56,14.12,3,champions,ID,Indonesia
ID2908704,29,6,974712.00,3.40,1.95,13.79,1,new customers with high buying ability,ID,Indonesia
ID2908788,330,1,109152.00,5.80,0.69,11.60,0,can not lose,ID,Indonesia
ID2908800,22,5,1140222.00,3.14,1.79,13.95,1,new customers with high buying ability,ID,Indonesia
ID2908902,22,16,2597622.00,3.14,2.83,14.77,3,champions,ID,Indonesia
ID2908962,316,1,243408.00,5.76,0.69,12.40,0,can not lose,ID,Indonesia
ID2909070,15,4,725286.00,2.77,1.61,13.49,1,new customers with high buying ability,ID,Indonesia
ID2909256,218,1,64830.00,5.39,0.69,11.08,0,can not lose,ID,Indonesia
ID2909364,29,7,684468.00,3.40,2.08,13.44,1,new customers with high buying ability,ID,Indonesia
ID2909394,36,1,120714.00,3.61,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID2909406,15,21,8138694.00,2.77,3.09,15.91,3,champions,ID,Indonesia
ID2909502,22,29,4081434.00,3.14,3.40,15.22,3,champions,ID,Indonesia
ID2909682,162,1,39660.00,5.09,0.69,10.59,2,may lose,ID,Indonesia
ID2909952,15,31,1570038.00,2.77,3.47,14.27,3,champions,ID,Indonesia
ID2910126,295,1,545760.00,5.69,0.69,13.21,5,need bring back,ID,Indonesia
ID2910192,43,10,1175652.00,3.78,2.40,13.98,1,new customers with high buying ability,ID,Indonesia
ID2910258,43,2,446832.00,3.78,1.10,13.01,5,need bring back,ID,Indonesia
ID2910720,15,5,253560.00,2.77,1.79,12.44,1,new customers with high buying ability,ID,Indonesia
ID2910906,302,2,608502.00,5.71,1.10,13.32,5,need bring back,ID,Indonesia
ID2911062,267,1,39672.00,5.59,0.69,10.59,2,may lose,ID,Indonesia
ID2911104,29,5,667464.00,3.40,1.79,13.41,1,new customers with high buying ability,ID,Indonesia
ID2911134,176,1,62352.00,5.18,0.69,11.04,0,can not lose,ID,Indonesia
ID2911206,15,12,1072896.00,2.77,2.56,13.89,1,new customers with high buying ability,ID,Indonesia
ID2911218,8,53,17105592.00,2.20,3.99,16.65,3,champions,ID,Indonesia
ID2911248,190,2,486648.00,5.25,1.10,13.10,5,need bring back,ID,Indonesia
ID2911260,22,29,13872162.00,3.14,3.40,16.45,3,champions,ID,Indonesia
ID2911464,120,2,242676.00,4.80,1.10,12.40,0,can not lose,ID,Indonesia
ID2911488,36,3,379650.00,3.61,1.39,12.85,1,new customers with high buying ability,ID,Indonesia
ID2911524,85,4,486600.00,4.45,1.61,13.10,5,need bring back,ID,Indonesia
ID2911710,330,1,780564.00,5.80,0.69,13.57,5,need bring back,ID,Indonesia
ID2911728,92,1,62352.00,4.53,0.69,11.04,0,can not lose,ID,Indonesia
ID2911734,71,6,565416.00,4.28,1.95,13.25,5,need bring back,ID,Indonesia
ID2911830,92,2,346146.00,4.53,1.10,12.75,5,need bring back,ID,Indonesia
ID2911932,85,12,1091904.00,4.45,2.56,13.90,5,need bring back,ID,Indonesia
ID2912016,50,1,362250.00,3.93,0.69,12.80,5,need bring back,ID,Indonesia
ID2912052,15,13,2048028.00,2.77,2.64,14.53,3,champions,ID,Indonesia
ID2912064,22,2,1086750.00,3.14,1.10,13.90,1,new customers with high buying ability,ID,Indonesia
ID2912148,92,1,121662.00,4.53,0.69,11.71,0,can not lose,ID,Indonesia
ID2912202,78,1,38970.00,4.37,0.69,10.57,2,may lose,ID,Indonesia
ID2912226,99,4,225882.00,4.61,1.61,12.33,5,need bring back,ID,Indonesia
ID2912262,1,1,337146.00,0.69,0.69,12.73,1,new customers with high buying ability,ID,Indonesia
ID2912280,92,1,223884.00,4.53,0.69,12.32,0,can not lose,ID,Indonesia
ID2912406,253,1,109152.00,5.54,0.69,11.60,0,can not lose,ID,Indonesia
ID2912478,36,1,120750.00,3.61,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID2912682,22,6,872088.00,3.14,1.95,13.68,1,new customers with high buying ability,ID,Indonesia
ID2912748,330,1,244764.00,5.80,0.69,12.41,0,can not lose,ID,Indonesia
ID2912826,50,1,120702.00,3.93,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID2912886,106,5,1352076.00,4.67,1.79,14.12,5,need bring back,ID,Indonesia
ID2912994,127,3,119016.00,4.85,1.39,11.69,0,can not lose,ID,Indonesia
ID2913018,141,4,1023978.00,4.96,1.61,13.84,5,need bring back,ID,Indonesia
ID2913144,15,1,61854.00,2.77,0.69,11.03,4,new customers with low buying ability,ID,Indonesia
ID2913156,232,1,121662.00,5.45,0.69,11.71,0,can not lose,ID,Indonesia
ID2913204,85,2,126684.00,4.45,1.10,11.75,0,can not lose,ID,Indonesia
ID2913222,85,2,126684.00,4.45,1.10,11.75,0,can not lose,ID,Indonesia
ID2913246,43,11,2412888.00,3.78,2.48,14.70,1,new customers with high buying ability,ID,Indonesia
ID2913276,78,3,548502.00,4.37,1.39,13.21,5,need bring back,ID,Indonesia
ID2913282,323,1,64830.00,5.78,0.69,11.08,0,can not lose,ID,Indonesia
ID2913354,225,4,1267134.00,5.42,1.61,14.05,5,need bring back,ID,Indonesia
ID2913384,15,2,241476.00,2.77,1.10,12.39,4,new customers with low buying ability,ID,Indonesia
ID2913534,316,1,225816.00,5.76,0.69,12.33,0,can not lose,ID,Indonesia
ID2913678,190,2,243324.00,5.25,1.10,12.40,0,can not lose,ID,Indonesia
ID2913708,8,3,267720.00,2.20,1.39,12.50,1,new customers with high buying ability,ID,Indonesia
ID2913786,15,5,961158.00,2.77,1.79,13.78,1,new customers with high buying ability,ID,Indonesia
ID2913828,71,6,423930.00,4.28,1.95,12.96,5,need bring back,ID,Indonesia
ID2913894,29,12,707022.00,3.40,2.56,13.47,1,new customers with high buying ability,ID,Indonesia
ID2913954,211,2,60954.00,5.36,1.10,11.02,0,can not lose,ID,Indonesia
ID2913996,134,2,145272.00,4.91,1.10,11.89,0,can not lose,ID,Indonesia
ID2914074,344,2,193242.00,5.84,1.10,12.17,0,can not lose,ID,Indonesia
ID2914134,43,12,1730928.00,3.78,2.56,14.36,1,new customers with high buying ability,ID,Indonesia
ID2914188,309,1,191406.00,5.74,0.69,12.16,0,can not lose,ID,Indonesia
ID2914326,85,2,488802.00,4.45,1.10,13.10,5,need bring back,ID,Indonesia
ID2914332,211,3,797634.00,5.36,1.39,13.59,5,need bring back,ID,Indonesia
ID2914560,1,7,1451736.00,0.69,2.08,14.19,1,new customers with high buying ability,ID,Indonesia
ID2914674,330,1,122382.00,5.80,0.69,11.71,0,can not lose,ID,Indonesia
ID2914680,169,2,603222.00,5.14,1.10,13.31,5,need bring back,ID,Indonesia
ID2914794,71,1,61854.00,4.28,0.69,11.03,4,new customers with low buying ability,ID,Indonesia
ID2914800,78,1,163296.00,4.37,0.69,12.00,0,can not lose,ID,Indonesia
ID2914872,64,1,38970.00,4.17,0.69,10.57,4,new customers with low buying ability,ID,Indonesia
ID2914902,204,1,243324.00,5.32,0.69,12.40,0,can not lose,ID,Indonesia
ID2914938,232,1,121662.00,5.45,0.69,11.71,0,can not lose,ID,Indonesia
ID2915010,162,4,2482686.00,5.09,1.61,14.72,5,need bring back,ID,Indonesia
ID2915124,29,1,362250.00,3.40,0.69,12.80,4,new customers with low buying ability,ID,Indonesia
ID2915136,22,11,1728882.00,3.14,2.48,14.36,1,new customers with high buying ability,ID,Indonesia
ID2915208,232,10,1234740.00,5.45,2.40,14.03,5,need bring back,ID,Indonesia
ID2915352,260,1,121662.00,5.56,0.69,11.71,0,can not lose,ID,Indonesia
ID2915382,113,2,311202.00,4.74,1.10,12.65,5,need bring back,ID,Indonesia
ID2915412,211,1,444288.00,5.36,0.69,13.00,5,need bring back,ID,Indonesia
ID2915478,29,4,1336284.00,3.40,1.61,14.11,1,new customers with high buying ability,ID,Indonesia
ID2915514,15,2,180096.00,2.77,1.10,12.10,4,new customers with low buying ability,ID,Indonesia
ID2915610,1,55,11408928.00,0.69,4.03,16.25,3,champions,ID,Indonesia
ID2915628,1,11,5903532.00,0.69,2.48,15.59,3,champions,ID,Indonesia
ID2915754,85,1,120750.00,4.45,0.69,11.70,0,can not lose,ID,Indonesia
ID2915832,99,4,1675728.00,4.61,1.61,14.33,5,need bring back,ID,Indonesia
ID2915934,29,4,1120722.00,3.40,1.61,13.93,1,new customers with high buying ability,ID,Indonesia
ID2915952,323,1,39936.00,5.78,0.69,10.60,2,may lose,ID,Indonesia
ID2915964,71,1,120750.00,4.28,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID2916000,50,1,38970.00,3.93,0.69,10.57,4,new customers with low buying ability,ID,Indonesia
ID2916048,15,3,362790.00,2.77,1.39,12.80,1,new customers with high buying ability,ID,Indonesia
ID2916066,78,1,120750.00,4.37,0.69,11.70,0,can not lose,ID,Indonesia
ID2916138,190,1,64830.00,5.25,0.69,11.08,0,can not lose,ID,Indonesia
ID2916144,36,1,241500.00,3.61,0.69,12.39,4,new customers with low buying ability,ID,Indonesia
ID2916162,281,1,121698.00,5.64,0.69,11.71,0,can not lose,ID,Indonesia
ID2916330,22,2,242412.00,3.14,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID2916450,15,1,123720.00,2.77,0.69,11.73,4,new customers with low buying ability,ID,Indonesia
ID2916486,43,6,1047690.00,3.78,1.95,13.86,1,new customers with high buying ability,ID,Indonesia
ID2916612,22,13,2589552.00,3.14,2.64,14.77,3,champions,ID,Indonesia
ID2916702,22,1,102678.00,3.14,0.69,11.54,4,new customers with low buying ability,ID,Indonesia
ID2916720,22,22,3381612.00,3.14,3.14,15.03,3,champions,ID,Indonesia
ID2917068,15,27,6617550.00,2.77,3.33,15.71,3,champions,ID,Indonesia
ID2917152,8,23,8391210.00,2.20,3.18,15.94,3,champions,ID,Indonesia
ID2917254,1,1,27216.00,0.69,0.69,10.21,4,new customers with low buying ability,ID,Indonesia
ID2917398,330,1,122742.00,5.80,0.69,11.72,0,can not lose,ID,Indonesia
ID2917404,106,3,119016.00,4.67,1.39,11.69,0,can not lose,ID,Indonesia
ID2917416,50,13,2663208.00,3.93,2.64,14.80,3,champions,ID,Indonesia
ID2917458,1,39,8729724.00,0.69,3.69,15.98,3,champions,ID,Indonesia
ID2917476,22,11,1645596.00,3.14,2.48,14.31,1,new customers with high buying ability,ID,Indonesia
ID2917554,71,1,27216.00,4.28,0.69,10.21,2,may lose,ID,Indonesia
ID2917596,57,1,1931808.00,4.06,0.69,14.47,5,need bring back,ID,Indonesia
ID2917638,8,26,7916040.00,2.20,3.30,15.88,3,champions,ID,Indonesia
ID2917746,29,8,3483480.00,3.40,2.20,15.06,3,champions,ID,Indonesia
ID2917770,99,1,121662.00,4.61,0.69,11.71,0,can not lose,ID,Indonesia
ID2917842,337,1,81240.00,5.82,0.69,11.31,0,can not lose,ID,Indonesia
ID2917908,64,6,513300.00,4.17,1.95,13.15,5,need bring back,ID,Indonesia
ID2918022,85,1,121662.00,4.45,0.69,11.71,0,can not lose,ID,Indonesia
ID2918064,57,1,603570.00,4.06,0.69,13.31,5,need bring back,ID,Indonesia
ID2918142,78,2,522234.00,4.37,1.10,13.17,5,need bring back,ID,Indonesia
ID2918202,211,1,243324.00,5.36,0.69,12.40,0,can not lose,ID,Indonesia
ID2918478,29,9,319542.00,3.40,2.30,12.67,1,new customers with high buying ability,ID,Indonesia
ID2918526,22,6,1301724.00,3.14,1.95,14.08,1,new customers with high buying ability,ID,Indonesia
ID2918568,85,3,402072.00,4.45,1.39,12.90,5,need bring back,ID,Indonesia
ID2918610,57,3,112752.00,4.06,1.39,11.63,4,new customers with low buying ability,ID,Indonesia
ID2918706,134,4,722340.00,4.91,1.61,13.49,5,need bring back,ID,Indonesia
ID2918760,1,7,255108.00,0.69,2.08,12.45,1,new customers with high buying ability,ID,Indonesia
ID2918856,78,2,304626.00,4.37,1.10,12.63,5,need bring back,ID,Indonesia
ID2918922,183,1,64830.00,5.21,0.69,11.08,0,can not lose,ID,Indonesia
ID2918952,211,1,27708.00,5.36,0.69,10.23,2,may lose,ID,Indonesia
ID2918988,330,1,121422.00,5.80,0.69,11.71,0,can not lose,ID,Indonesia
ID2919036,15,51,6022254.00,2.77,3.95,15.61,3,champions,ID,Indonesia
ID2919078,22,15,5087004.00,3.14,2.77,15.44,3,champions,ID,Indonesia
ID2919174,176,1,110832.00,5.18,0.69,11.62,0,can not lose,ID,Indonesia
ID2919246,323,1,121422.00,5.78,0.69,11.71,0,can not lose,ID,Indonesia
ID2919420,36,8,1315806.00,3.61,2.20,14.09,1,new customers with high buying ability,ID,Indonesia
ID2919510,1,37,17669568.00,0.69,3.64,16.69,3,champions,ID,Indonesia
ID2919540,1,10,1272246.00,0.69,2.40,14.06,1,new customers with high buying ability,ID,Indonesia
ID2919552,302,1,64950.00,5.71,0.69,11.08,0,can not lose,ID,Indonesia
ID2919558,8,4,545814.00,2.20,1.61,13.21,1,new customers with high buying ability,ID,Indonesia
ID2919570,134,4,677562.00,4.91,1.61,13.43,5,need bring back,ID,Indonesia
ID2919606,22,9,1324938.00,3.14,2.30,14.10,1,new customers with high buying ability,ID,Indonesia
ID2919696,85,23,4318536.00,4.45,3.18,15.28,3,champions,ID,Indonesia
ID2919726,8,25,7043376.00,2.20,3.26,15.77,3,champions,ID,Indonesia
ID2919822,1,8,1485336.00,0.69,2.20,14.21,1,new customers with high buying ability,ID,Indonesia
ID2919828,43,23,4489164.00,3.78,3.18,15.32,3,champions,ID,Indonesia
ID2919960,15,20,2630988.00,2.77,3.04,14.78,3,champions,ID,Indonesia
ID2919978,8,24,6482142.00,2.20,3.22,15.68,3,champions,ID,Indonesia
ID2920104,22,10,1971024.00,3.14,2.40,14.49,1,new customers with high buying ability,ID,Indonesia
ID2920128,1,3,688836.00,0.69,1.39,13.44,1,new customers with high buying ability,ID,Indonesia
ID2920212,267,2,232596.00,5.59,1.10,12.36,0,can not lose,ID,Indonesia
ID2920476,1,15,3012822.00,0.69,2.77,14.92,3,champions,ID,Indonesia
ID2920620,120,5,1094886.00,4.80,1.79,13.91,5,need bring back,ID,Indonesia
ID2920710,295,3,603468.00,5.69,1.39,13.31,5,need bring back,ID,Indonesia
ID2920836,106,1,237744.00,4.67,0.69,12.38,0,can not lose,ID,Indonesia
ID2920998,295,1,223884.00,5.69,0.69,12.32,0,can not lose,ID,Indonesia
ID2921010,1,24,7631688.00,0.69,3.22,15.85,3,champions,ID,Indonesia
ID2921046,120,3,194490.00,4.80,1.39,12.18,0,can not lose,ID,Indonesia
ID2921136,36,1,61854.00,3.61,0.69,11.03,4,new customers with low buying ability,ID,Indonesia
ID2921208,50,5,1703598.00,3.93,1.79,14.35,5,need bring back,ID,Indonesia
ID2921268,22,21,5578668.00,3.14,3.09,15.53,3,champions,ID,Indonesia
ID2921346,43,3,838500.00,3.78,1.39,13.64,5,need bring back,ID,Indonesia
ID2921436,274,3,366102.00,5.62,1.39,12.81,5,need bring back,ID,Indonesia
ID2921484,316,1,121338.00,5.76,0.69,11.71,0,can not lose,ID,Indonesia
ID2921562,267,2,186468.00,5.59,1.10,12.14,0,can not lose,ID,Indonesia
ID2921610,57,5,1817436.00,4.06,1.79,14.41,5,need bring back,ID,Indonesia
ID2921682,302,2,237744.00,5.71,1.10,12.38,0,can not lose,ID,Indonesia
ID2921904,204,5,526494.00,5.32,1.79,13.17,5,need bring back,ID,Indonesia
ID2921988,330,4,336066.00,5.80,1.61,12.73,5,need bring back,ID,Indonesia
ID2922024,8,21,3519480.00,2.20,3.09,15.07,3,champions,ID,Indonesia
ID2922030,22,11,3499278.00,3.14,2.48,15.07,3,champions,ID,Indonesia
ID2922066,22,9,1991538.00,3.14,2.30,14.50,1,new customers with high buying ability,ID,Indonesia
ID2922126,232,3,437622.00,5.45,1.39,12.99,5,need bring back,ID,Indonesia
ID2922144,71,1,120750.00,4.28,0.69,11.70,4,new customers with low buying ability,ID,Indonesia
ID2922258,302,1,223884.00,5.71,0.69,12.32,0,can not lose,ID,Indonesia
ID2922330,43,6,739584.00,3.78,1.95,13.51,1,new customers with high buying ability,ID,Indonesia
ID2922378,22,7,1850250.00,3.14,2.08,14.43,1,new customers with high buying ability,ID,Indonesia
ID2922474,92,16,5880672.00,4.53,2.83,15.59,3,champions,ID,Indonesia
ID2922492,22,40,6760056.00,3.14,3.71,15.73,3,champions,ID,Indonesia
ID2922552,141,1,121662.00,4.96,0.69,11.71,0,can not lose,ID,Indonesia
ID2922588,113,3,362976.00,4.74,1.39,12.80,5,need bring back,ID,Indonesia
ID2922672,22,7,9209424.00,3.14,2.08,16.04,3,champions,ID,Indonesia
ID2922684,106,3,578628.00,4.67,1.39,13.27,5,need bring back,ID,Indonesia
ID2922810,8,4,693372.00,2.20,1.61,13.45,1,new customers with high buying ability,ID,Indonesia
ID2922828,106,5,973440.00,4.67,1.79,13.79,5,need bring back,ID,Indonesia
ID2922834,8,25,1424844.00,2.20,3.26,14.17,3,champions,ID,Indonesia
ID2922924,22,5,1279368.00,3.14,1.79,14.06,1,new customers with high buying ability,ID,Indonesia
ID2923122,71,7,1424142.00,4.28,2.08,14.17,5,need bring back,ID,Indonesia
ID2923128,113,1,64830.00,4.74,0.69,11.08,0,can not lose,ID,Indonesia
ID2923272,232,2,96150.00,5.45,1.10,11.47,0,can not lose,ID,Indonesia
ID2923530,36,2,242412.00,3.61,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID2923602,113,1,62724.00,4.74,0.69,11.05,0,can not lose,ID,Indonesia
ID2923734,29,3,163368.00,3.40,1.39,12.00,4,new customers with low buying ability,ID,Indonesia
ID2923848,309,2,382812.00,5.74,1.10,12.86,5,need bring back,ID,Indonesia
ID2923896,71,6,540078.00,4.28,1.95,13.20,5,need bring back,ID,Indonesia
ID2923974,127,3,308106.00,4.85,1.39,12.64,5,need bring back,ID,Indonesia
ID2924106,225,1,1080756.00,5.42,0.69,13.89,5,need bring back,ID,Indonesia
ID2924136,22,37,5567166.00,3.14,3.64,15.53,3,champions,ID,Indonesia
ID2924256,302,1,121338.00,5.71,0.69,11.71,0,can not lose,ID,Indonesia
ID2924316,8,5,335178.00,2.20,1.79,12.72,1,new customers with high buying ability,ID,Indonesia
ID2924334,22,21,4975608.00,3.14,3.09,15.42,3,champions,ID,Indonesia
ID2924550,211,3,364698.00,5.36,1.39,12.81,5,need bring back,ID,Indonesia
ID2924754,15,3,1692132.00,2.77,1.39,14.34,1,new customers with high buying ability,ID,Indonesia
ID2924820,50,2,536844.00,3.93,1.10,13.19,5,need bring back,ID,Indonesia
ID2924922,15,11,492990.00,2.77,2.48,13.11,1,new customers with high buying ability,ID,Indonesia
ID2924988,64,4,484824.00,4.17,1.61,13.09,5,need bring back,ID,Indonesia
ID2925012,1,9,1817886.00,0.69,2.30,14.41,3,champions,ID,Indonesia
ID2925054,337,1,46134.00,5.82,0.69,10.74,2,may lose,ID,Indonesia
ID2925102,120,4,786402.00,4.80,1.61,13.58,5,need bring back,ID,Indonesia
ID2925126,71,11,2596908.00,4.28,2.48,14.77,5,need bring back,ID,Indonesia
ID2925408,183,3,411456.00,5.21,1.39,12.93,5,need bring back,ID,Indonesia
ID2925540,176,2,610338.00,5.18,1.10,13.32,5,need bring back,ID,Indonesia
ID2925606,120,1,222486.00,4.80,0.69,12.31,0,can not lose,ID,Indonesia
ID2925636,71,5,728184.00,4.28,1.79,13.50,5,need bring back,ID,Indonesia
ID2925744,92,16,2375256.00,4.53,2.83,14.68,5,need bring back,ID,Indonesia
ID2926062,1,14,1652622.00,0.69,2.71,14.32,3,champions,ID,Indonesia
ID2926164,22,10,1274802.00,3.14,2.40,14.06,1,new customers with high buying ability,ID,Indonesia
ID2926206,15,22,6786132.00,2.77,3.14,15.73,3,champions,ID,Indonesia
ID2926290,15,10,2112546.00,2.77,2.40,14.56,1,new customers with high buying ability,ID,Indonesia
ID2926320,113,1,121662.00,4.74,0.69,11.71,0,can not lose,ID,Indonesia
ID2926458,330,1,64482.00,5.80,0.69,11.07,0,can not lose,ID,Indonesia
ID2926464,274,2,186528.00,5.62,1.10,12.14,0,can not lose,ID,Indonesia
ID2926656,29,6,849666.00,3.40,1.95,13.65,1,new customers with high buying ability,ID,Indonesia
ID2926668,190,2,243360.00,5.25,1.10,12.40,0,can not lose,ID,Indonesia
ID2926794,288,1,27696.00,5.67,0.69,10.23,2,may lose,ID,Indonesia
ID2926998,36,2,242412.00,3.61,1.10,12.40,4,new customers with low buying ability,ID,Indonesia
ID2927070,15,4,1671138.00,2.77,1.61,14.33,1,new customers with high buying ability,ID,Indonesia
ID2927106,22,8,2170932.00,3.14,2.20,14.59,1,new customers with high buying ability,ID,Indonesia
ID2927244,8,30,5464782.00,2.20,3.43,15.51,3,champions,ID,Indonesia
ID2927286,15,20,10248504.00,2.77,3.04,16.14,3,champions,ID,Indonesia
ID2927382,183,11,2071812.00,5.21,2.48,14.54,5,need bring back,ID,Indonesia
ID2927412,8,2,241500.00,2.20,1.10,12.39,1,new customers with high buying ability,ID,Indonesia
ID2927460,211,1,440904.00,5.36,0.69,13.00,5,need bring back,ID,Indonesia
ID2927496,36,9,1337400.00,3.61,2.30,14.11,1,new customers with high buying ability,ID,Indonesia
